"Sampling Dates","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Daily Average Count"
2024-08-05,"45","194","261","88","86","135"
2024-08-04,"435","175","658","332","90","338"
2024-07-29,"104","0","637","0 ","0","370"
2024-07-28,"150","0","544","0 ","329","341"
2024-07-22,"121","520","613","0","378","408"
2024-07-21,"181","107","433","0 ","281","250"
2024-07-14,"100","1200","285","0","1","396"
2024-07-14,"148","132","143","224","193","168"
2024-07-08,"90","528","69","94","90","174"
2024-07-07,"11","669","327","3","63","215"
2024-07-01,"54","0 ","2","84","43","46"
2024-06-30,"13","1","115","36","6","34"
2024-06-24,"81","555","127","91","123","195"
2024-06-23,"37","268","87","36","15","89"
2024-06-17,"0","22","18","6","9","14"
2024-06-16,"24","0 ","65","19","73","45"
2024-06-10,"0","89","0","0","22","55"
2024-06-09,"0","22","0","11","19","17"
2024-06-03,"7","28","2","0","13","13"
2024-06-02,"2","14","0","35","0","16"
